"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SABPH2760","SABPH2819","SABPH2900","SABPH2947","SABPH2986"
"emrK","","putative multidrug resistance protein EmrK","5","5","1","1","78","","","","647","647","647","BPOBBBHG_02171","PCKNBOAI_01414","LDKIDLOJ_02315","HHCDGDKF_02568","GIPNDHBP_02420"
"iucC_3","","Aerobactin synthase","5","5","1","1","350","","","","1976","1976","1976","BPOBBBHG_02002","PCKNBOAI_01584","LDKIDLOJ_02153","HHCDGDKF_02399","GIPNDHBP_02252"
"hutG","","Formimidoylglutamase","5","5","1","1","58","","","","935","935","935","BPOBBBHG_02153","PCKNBOAI_01433","LDKIDLOJ_02297","HHCDGDKF_02550","GIPNDHBP_02402"
"group_3673","","Bacterial transcription activator, effector binding domain","5","5","1","1","3652","","","","473","473","473","BPOBBBHG_02253","PCKNBOAI_01334","LDKIDLOJ_02401","HHCDGDKF_02650","GIPNDHBP_02502"
"group_3674","","hypothetical protein","5","5","1","1","3055","","","","389","395","393","BPOBBBHG_00653","PCKNBOAI_00457","LDKIDLOJ_00623","HHCDGDKF_00777","GIPNDHBP_00665"
"group_3675","","hypothetical protein","5","5","1","1","783","","","","995","995","995","BPOBBBHG_00290","PCKNBOAI_00780","LDKIDLOJ_00302","HHCDGDKF_00419","GIPNDHBP_00313"
"group_3678","","hypothetical protein","5","5","1","1","548","","","","1253","1259","1257","BPOBBBHG_01847","PCKNBOAI_01741","LDKIDLOJ_01993","HHCDGDKF_02089","GIPNDHBP_02092"
"group_3679","","CsbD-like protein","5","5","1","1","2188","","","","194","194","194","BPOBBBHG_00791","PCKNBOAI_00294","LDKIDLOJ_00764","HHCDGDKF_00940","GIPNDHBP_00822"
"suhB_1","","Inositol-1-monophosphatase","5","5","1","1","1210","","","","827","827","827","BPOBBBHG_00986","PCKNBOAI_00100","LDKIDLOJ_00962","HHCDGDKF_01139","GIPNDHBP_01088"
"group_3680","","putative leukocidin-like protein 2","5","5","1","1","2321","","","","1052","1055","1053","BPOBBBHG_01836","PCKNBOAI_01747","LDKIDLOJ_01982","HHCDGDKF_02077","GIPNDHBP_02081"
"panE","","2-dehydropantoate 2-reductase","5","5","1","1","3644","","","","935","935","935","BPOBBBHG_02261","PCKNBOAI_01326","LDKIDLOJ_02409","HHCDGDKF_02658","GIPNDHBP_02510"
"glcB","","PTS system glucoside-specific EIICBA component","5","5","1","1","3526","","","","2066","2099","2085","BPOBBBHG_02352","PCKNBOAI_01233","LDKIDLOJ_02511","HHCDGDKF_02747","GIPNDHBP_02607"
"group_3683","","Branched-chain amino acid transport protein (AzlD)","5","5","1","1","2744","","","","329","329","329","BPOBBBHG_00011","PCKNBOAI_01047","LDKIDLOJ_00011","HHCDGDKF_00011","GIPNDHBP_00011"
"rsmA","","Ribosomal RNA small subunit methyltransferase A","5","5","1","1","626","","","","893","911","896","BPOBBBHG_00447","PCKNBOAI_00653","LDKIDLOJ_00425","HHCDGDKF_00574","GIPNDHBP_00442"
"yjbI","","Group 2 truncated hemoglobin YjbI","5","5","1","1","1318","","","","365","365","365","BPOBBBHG_00880","PCKNBOAI_00204","LDKIDLOJ_00856","HHCDGDKF_01032","GIPNDHBP_00984"
"group_3686","","hypothetical protein","5","5","1","1","1737","","","","401","401","401","BPOBBBHG_01326","PCKNBOAI_02324","LDKIDLOJ_01328","HHCDGDKF_01479","GIPNDHBP_01433"
"group_3687","","hypothetical protein","5","5","1","1","690","","","","308","308","308","BPOBBBHG_00392","PCKNBOAI_00712","LDKIDLOJ_00370","HHCDGDKF_00520","GIPNDHBP_00382"
"grsB","","Gramicidin S synthase 2","5","5","1","1","992","","","","7163","7175","7172","BPOBBBHG_00129","PCKNBOAI_00939","LDKIDLOJ_00150","HHCDGDKF_00197","GIPNDHBP_00152"
"group_3689","","Inhibitor of apoptosis-promoting Bax1","5","5","1","1","3068","","","","644","644","644","BPOBBBHG_00642","PCKNBOAI_00468","LDKIDLOJ_00611","HHCDGDKF_00766","GIPNDHBP_00653"
"rnhC","","Ribonuclease HIII","5","5","1","1","3180","","","","938","938","938","BPOBBBHG_01017","PCKNBOAI_00069","LDKIDLOJ_00993","HHCDGDKF_01170","GIPNDHBP_01119"
"feuC_2","","Iron-uptake system permease protein FeuC","5","5","1","1","2254","","","","956","956","956","BPOBBBHG_00709","PCKNBOAI_00401","LDKIDLOJ_00680","HHCDGDKF_00833","GIPNDHBP_00721"
"sapF","","Peptide transport system ATP-binding protein SapF","5","5","1","1","3623","","","","749","749","749","BPOBBBHG_02280","PCKNBOAI_01307","LDKIDLOJ_02428","HHCDGDKF_02677","GIPNDHBP_02529"
"group_3692","","hypothetical protein","5","5","1","1","3023","","","","584","584","584","BPOBBBHG_00685","PCKNBOAI_00425","LDKIDLOJ_00655","HHCDGDKF_00809","GIPNDHBP_00697"
"hisG","","ATP phosphoribosyltransferase","5","5","1","1","2792","","","","614","614","614","BPOBBBHG_02491","PCKNBOAI_01091","LDKIDLOJ_02657","HHCDGDKF_02909","GIPNDHBP_02746"
"group_3694","","2-oxoglutaramate amidase","5","5","1","1","546","","","","785","785","785","BPOBBBHG_01849","PCKNBOAI_01739","LDKIDLOJ_01995","HHCDGDKF_02091","GIPNDHBP_02094"
"group_3695","","3-demethylubiquinone-9 3-methyltransferase","5","5","1","1","3255","","","","401","401","401","BPOBBBHG_01084","PCKNBOAI_02559","LDKIDLOJ_01061","HHCDGDKF_01240","GIPNDHBP_01187"
"divIB","","Cell division protein DivIB","5","5","1","1","3233","","","","1319","1322","1319","BPOBBBHG_01062","PCKNBOAI_02582","LDKIDLOJ_01039","HHCDGDKF_01216","GIPNDHBP_01164"
"group_3697","","Glucosaminate ammonia-lyase","5","5","1","1","1767","","","","968","986","982","BPOBBBHG_01356","PCKNBOAI_02294","LDKIDLOJ_01358","HHCDGDKF_01509","GIPNDHBP_01463"
"limB_1","","Limonene 1,2-monooxygenase","5","5","1","1","1176","","","","1001","1001","1001","BPOBBBHG_00273","PCKNBOAI_00797","LDKIDLOJ_00285","HHCDGDKF_00402","GIPNDHBP_00296"
"sdpR","","Transcriptional repressor SdpR","5","5","1","1","1428","","","","314","314","314","BPOBBBHG_01631","PCKNBOAI_02016","LDKIDLOJ_01702","HHCDGDKF_01799","GIPNDHBP_01808"
"ebh_3","","Extracellular matrix-binding protein ebh","5","5","1","1","373","","","","3881","7505","6716","BPOBBBHG_01973","PCKNBOAI_01614","LDKIDLOJ_02124","HHCDGDKF_02369","GIPNDHBP_02221"
"group_370","","Non-canonical purine NTP pyrophosphatase","5","5","1","1","3191","","","","587","587","587","BPOBBBHG_01028","PCKNBOAI_00058","LDKIDLOJ_01004","HHCDGDKF_01181","GIPNDHBP_01130"
"group_3700","","Bacterial membrane flanked domain protein","5","5","1","1","456","","","","494","494","494","BPOBBBHG_01892","PCKNBOAI_01696","LDKIDLOJ_02043","HHCDGDKF_02286","GIPNDHBP_02138"
"gtf2","","Glycosyltransferase-stabilizing protein Gtf2","5","5","1","1","2829","","","","1358","1358","1358","BPOBBBHG_02460","PCKNBOAI_01123","LDKIDLOJ_02623","HHCDGDKF_02876","GIPNDHBP_02715"
"group_3702","","DNA-binding transcriptional regulator EnvR","5","5","1","1","2885","","","","587","587","587","BPOBBBHG_02406","PCKNBOAI_01178","LDKIDLOJ_02566","HHCDGDKF_02823","GIPNDHBP_02662"
"mnaA_1","","UDP-N-acetylglucosamine 2-epimerase","5","5","1","1","976","","","","1145","1145","1145","BPOBBBHG_00115","PCKNBOAI_00953","LDKIDLOJ_00135","HHCDGDKF_00183","GIPNDHBP_00138"
"group_3704","","hypothetical protein","5","5","1","1","1032","","","","968","968","968","BPOBBBHG_00175","PCKNBOAI_00893","LDKIDLOJ_00189","HHCDGDKF_00234","GIPNDHBP_00191"
"nuoL","","NADH-quinone oxidoreductase subunit L","5","5","1","1","666","","","","1484","1484","1484","BPOBBBHG_00403","PCKNBOAI_00696","LDKIDLOJ_00381","HHCDGDKF_00530","GIPNDHBP_00398"
"recQ_1","","ATP-dependent DNA helicase RecQ","5","5","1","1","2240","","","","1781","1781","1781","BPOBBBHG_00696","PCKNBOAI_00414","LDKIDLOJ_00666","HHCDGDKF_00820","GIPNDHBP_00708"
"btr","","HTH-type transcriptional activator Btr","5","5","1","1","2657","","","","2237","2237","2237","BPOBBBHG_00053","PCKNBOAI_01014","LDKIDLOJ_00076","HHCDGDKF_00122","GIPNDHBP_00072"
"hemN","","Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR","5","5","1","1","1893","","","","1157","1157","1157","BPOBBBHG_01457","PCKNBOAI_02190","LDKIDLOJ_01528","HHCDGDKF_01611","GIPNDHBP_01631"
"dhaL","","PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL","5","5","1","1","3086","","","","584","584","584","BPOBBBHG_00627","PCKNBOAI_00483","LDKIDLOJ_00596","HHCDGDKF_00751","GIPNDHBP_00638"
"thiM","","Hydroxyethylthiazole kinase","5","5","1","1","436","","","","791","800","792","BPOBBBHG_01911","PCKNBOAI_01676","LDKIDLOJ_02062","HHCDGDKF_02305","GIPNDHBP_02157"
"group_3711","","Putative lipid kinase","5","5","1","1","2245","","","","917","917","917","BPOBBBHG_00701","PCKNBOAI_00409","LDKIDLOJ_00671","HHCDGDKF_00825","GIPNDHBP_00713"
"norB_5","","Quinolone resistance protein NorB","5","5","1","1","1726","","","","1391","1400","1392","BPOBBBHG_01314","PCKNBOAI_02336","LDKIDLOJ_01316","HHCDGDKF_01467","GIPNDHBP_01421"
"fruA_2","","PTS system fructose-specific EIIABC component","5","5","1","1","3032","","","","1958","1958","1958","BPOBBBHG_00676","PCKNBOAI_00434","LDKIDLOJ_00646","HHCDGDKF_00800","GIPNDHBP_00688"
"group_3714","","hypothetical protein","5","5","1","1","3710","","","","383","383","383","BPOBBBHG_02197","PCKNBOAI_01389","LDKIDLOJ_02344","HHCDGDKF_02594","GIPNDHBP_02446"
"gsiC_1","","Glutathione transport system permease protein GsiC","5","5","1","1","1014","","","","1433","1433","1433","BPOBBBHG_00157","PCKNBOAI_00911","LDKIDLOJ_00171","HHCDGDKF_00217","GIPNDHBP_00173"
"yhdN_1","","General stress protein 69","5","5","1","1","2997","","","","938","938","938","BPOBBBHG_00578","PCKNBOAI_00532","LDKIDLOJ_00547","HHCDGDKF_00702","GIPNDHBP_00573"
"group_3717","","putative rhodanese-related sulfurtransferase","5","5","1","1","2786","","","","956","956","956","BPOBBBHG_02503","PCKNBOAI_01081","LDKIDLOJ_02663","HHCDGDKF_02919","GIPNDHBP_02756"
"group_3718","","Acetyltransferase (GNAT) family protein","5","5","1","1","3053","","","","542","542","542","BPOBBBHG_00655","PCKNBOAI_00455","LDKIDLOJ_00625","HHCDGDKF_00779","GIPNDHBP_00667"
"treR_3","","HTH-type transcriptional regulator TreR","5","5","1","1","536","","","","950","950","950","BPOBBBHG_01857","PCKNBOAI_01731","LDKIDLOJ_02005","HHCDGDKF_02099","GIPNDHBP_02103"
"group_3720","","Penicillin acylase","5","5","1","1","1082","","","","992","992","992","BPOBBBHG_00224","PCKNBOAI_00844","LDKIDLOJ_00240","HHCDGDKF_00285","GIPNDHBP_00241"
"group_3721","","TelA-like protein","5","5","1","1","3446","","","","1136","1136","1136","BPOBBBHG_01283","PCKNBOAI_02364","LDKIDLOJ_01286","HHCDGDKF_01436","GIPNDHBP_01390"
"psuG","","Pseudouridine-5'-phosphate glycosidase","5","5","1","1","1151","","","","923","923","923","BPOBBBHG_00262","PCKNBOAI_00808","LDKIDLOJ_00274","HHCDGDKF_00327","GIPNDHBP_00285"
"tagB_3","","Putative CDP-glycerol:glycerophosphate glycerophosphotransferase","5","5","1","1","3097","","","","1103","1103","1103","BPOBBBHG_00616","PCKNBOAI_00494","LDKIDLOJ_00585","HHCDGDKF_00740","GIPNDHBP_00627"
"iucA_1","","N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine synthase","5","5","1","1","2634","","","","1736","1736","1736","BPOBBBHG_00069","PCKNBOAI_00996","LDKIDLOJ_00092","HHCDGDKF_00138","GIPNDHBP_00090"
"group_3725","","hypothetical protein","5","5","1","1","3220","","","","188","188","188","BPOBBBHG_01049","PCKNBOAI_00036","LDKIDLOJ_01026","HHCDGDKF_01203","GIPNDHBP_01151"
"gnu","","N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase","5","5","1","1","974","","","","887","887","887","BPOBBBHG_00113","PCKNBOAI_00955","LDKIDLOJ_00133","HHCDGDKF_00181","GIPNDHBP_00136"
"ssuB","","Aliphatic sulfonates import ATP-binding protein SsuB","5","5","1","1","3371","","","","899","899","899","BPOBBBHG_01199","PCKNBOAI_02448","LDKIDLOJ_01180","HHCDGDKF_01353","GIPNDHBP_01307"
"mtlR","","Transcriptional regulator MtlR","5","5","1","1","376","","","","2132","2132","2132","BPOBBBHG_01970","PCKNBOAI_01617","LDKIDLOJ_02121","HHCDGDKF_02366","GIPNDHBP_02218"
"yhfK","","putative sugar epimerase YhfK","5","5","1","1","384","","","","665","665","665","BPOBBBHG_01962","PCKNBOAI_01625","LDKIDLOJ_02113","HHCDGDKF_02356","GIPNDHBP_02208"
"group_3731","","hypothetical protein","5","5","1","1","2824","","","","1553","1553","1553","BPOBBBHG_02465","PCKNBOAI_01118","LDKIDLOJ_02628","HHCDGDKF_02881","GIPNDHBP_02720"
"sepA","","Multidrug resistance efflux pump SepA","5","5","1","1","365","","","","467","473","469","BPOBBBHG_01989","PCKNBOAI_01598","LDKIDLOJ_02140","HHCDGDKF_02386","GIPNDHBP_02239"
"acpS","","Holo-[acyl-carrier-protein] synthase","5","5","1","1","457","","","","359","359","359","BPOBBBHG_01891","PCKNBOAI_01697","LDKIDLOJ_02042","HHCDGDKF_02285","GIPNDHBP_02137"
"yxeP_4","","putative hydrolase YxeP","5","5","1","1","54","","","","1121","1121","1121","BPOBBBHG_02149","PCKNBOAI_01438","LDKIDLOJ_02293","HHCDGDKF_02545","GIPNDHBP_02397"
"ydbM","","Putative acyl-CoA dehydrogenase YdbM","5","5","1","1","10","","","","1154","1154","1154","BPOBBBHG_02106","PCKNBOAI_01482","LDKIDLOJ_02250","HHCDGDKF_02502","GIPNDHBP_02354"
"hepT","","Heptaprenyl diphosphate synthase component 2","5","5","1","1","1758","","","","959","959","959","BPOBBBHG_01347","PCKNBOAI_02303","LDKIDLOJ_01349","HHCDGDKF_01500","GIPNDHBP_01454"
"xylB","","Xylulose kinase","5","5","1","1","3566","","","","1553","1553","1553","BPOBBBHG_02318","PCKNBOAI_01266","LDKIDLOJ_02471","HHCDGDKF_02712","GIPNDHBP_02572"
"hel","","Lipoprotein E","5","5","1","1","1146","","","","890","890","890","BPOBBBHG_00257","PCKNBOAI_00813","LDKIDLOJ_00269","HHCDGDKF_00322","GIPNDHBP_00280"
"carA_1","","Caffeate CoA-transferase","5","5","1","1","1042","","","","1562","1562","1562","BPOBBBHG_00185","PCKNBOAI_00883","LDKIDLOJ_00199","HHCDGDKF_00244","GIPNDHBP_00201"
"fapR","","Transcription factor FapR","5","5","1","1","3277","","","","557","572","563","BPOBBBHG_01105","PCKNBOAI_02538","LDKIDLOJ_01082","HHCDGDKF_01261","GIPNDHBP_01208"
"group_375","","Bacterial membrane protein YfhO","5","5","1","1","3291","","","","2606","2606","2606","BPOBBBHG_01119","PCKNBOAI_02524","LDKIDLOJ_01096","HHCDGDKF_01275","GIPNDHBP_01222"
"femA_1","","Aminoacyltransferase FemA","5","5","1","1","3297","","","","1244","1244","1244","BPOBBBHG_01125","PCKNBOAI_02518","LDKIDLOJ_01102","HHCDGDKF_01281","GIPNDHBP_01228"
"group_377","","hypothetical protein","5","5","1","1","3369","","","","197","197","197","BPOBBBHG_01197","PCKNBOAI_02450","LDKIDLOJ_01178","HHCDGDKF_01351","GIPNDHBP_01305"
"thrB","","Homoserine kinase","5","5","1","1","3382","","","","914","914","914","BPOBBBHG_01210","PCKNBOAI_02437","LDKIDLOJ_01191","HHCDGDKF_01364","GIPNDHBP_01318"
"group_379","","hypothetical protein","5","5","1","1","3392","","","","236","236","236","BPOBBBHG_01220","PCKNBOAI_02427","LDKIDLOJ_01202","HHCDGDKF_01374","GIPNDHBP_01328"
"sbcC","","Nuclease SbcCD subunit C","5","5","1","1","3398","","","","3029","3029","3029","BPOBBBHG_01226","PCKNBOAI_02421","LDKIDLOJ_01208","HHCDGDKF_01380","GIPNDHBP_01334"
"tqsA","","AI-2 transport protein TqsA","5","5","1","1","3410","","","","1148","1208","1160","BPOBBBHG_01237","PCKNBOAI_02410","LDKIDLOJ_01221","HHCDGDKF_01391","GIPNDHBP_01345"
"trpC","","Indole-3-glycerol phosphate synthase","5","5","1","1","3422","","","","782","782","782","BPOBBBHG_01248","PCKNBOAI_02399","LDKIDLOJ_01232","HHCDGDKF_01402","GIPNDHBP_01356"
"group_383","","SWIM zinc finger","5","5","1","1","3473","","","","473","473","473","BPOBBBHG_01256","PCKNBOAI_02391","LDKIDLOJ_01259","HHCDGDKF_01409","GIPNDHBP_01363"
"oppD_3","","Oligopeptide transport ATP-binding protein OppD","5","5","1","1","3471","","","","776","776","776","BPOBBBHG_01258","PCKNBOAI_02389","LDKIDLOJ_01261","HHCDGDKF_01411","GIPNDHBP_01365"
"nikB_1","","Nickel transport system permease protein NikB","5","5","1","1","3469","","","","986","986","986","BPOBBBHG_01260","PCKNBOAI_02387","LDKIDLOJ_01263","HHCDGDKF_01413","GIPNDHBP_01367"
"group_386","","hypothetical protein","5","5","1","1","3428","","","","221","233","223","BPOBBBHG_01299","PCKNBOAI_02349","LDKIDLOJ_01301","HHCDGDKF_01453","GIPNDHBP_01407"
"group_387","","hypothetical protein","5","5","1","1","1716","","","","1124","1124","1124","BPOBBBHG_01307","PCKNBOAI_02341","LDKIDLOJ_01309","HHCDGDKF_01461","GIPNDHBP_01415"
"group_39","","hypothetical protein","5","5","1","1","3701","","","","524","914","725","BPOBBBHG_02206","PCKNBOAI_01380","LDKIDLOJ_02353","HHCDGDKF_02603","GIPNDHBP_02455"
"tdcB","","L-threonine dehydratase catabolic TdcB","5","5","1","1","1728","","","","1040","1040","1040","BPOBBBHG_01316","PCKNBOAI_02334","LDKIDLOJ_01318","HHCDGDKF_01469","GIPNDHBP_01423"
"group_391","","hypothetical protein","5","5","1","1","1733","","","","332","332","332","BPOBBBHG_01321","PCKNBOAI_02329","LDKIDLOJ_01323","HHCDGDKF_01474","GIPNDHBP_01428"
"group_392","","hypothetical protein","5","5","1","1","1740","","","","341","341","341","BPOBBBHG_01329","PCKNBOAI_02321","LDKIDLOJ_01331","HHCDGDKF_01482","GIPNDHBP_01436"
"group_393","","hypothetical protein","5","5","1","1","1750","","","","587","587","587","BPOBBBHG_01339","PCKNBOAI_02311","LDKIDLOJ_01341","HHCDGDKF_01492","GIPNDHBP_01446"
"aroA","","3-phosphoshikimate 1-carboxyvinyltransferase","5","5","1","1","1753","","","","1298","1298","1298","BPOBBBHG_01342","PCKNBOAI_02308","LDKIDLOJ_01344","HHCDGDKF_01495","GIPNDHBP_01449"
"aroC","","Chorismate synthase","5","5","1","1","1755","","","","1166","1166","1166","BPOBBBHG_01344","PCKNBOAI_02306","LDKIDLOJ_01346","HHCDGDKF_01497","GIPNDHBP_01451"
"group_397","","hypothetical protein","5","5","1","1","1756","","","","200","200","200","BPOBBBHG_01345","PCKNBOAI_02305","LDKIDLOJ_01347","HHCDGDKF_01498","GIPNDHBP_01452"
"ebpS","","Elastin-binding protein EbpS","5","5","1","1","1768","","","","1451","1460","1458","BPOBBBHG_01357","PCKNBOAI_02293","LDKIDLOJ_01359","HHCDGDKF_01510","GIPNDHBP_01464"
"group_399","","hypothetical protein","5","5","1","1","1770","","","","953","953","953","BPOBBBHG_01359","PCKNBOAI_02291","LDKIDLOJ_01361","HHCDGDKF_01512","GIPNDHBP_01466"
"group_401","","hypothetical protein","5","5","1","1","1972","","","","248","248","248","BPOBBBHG_01377","PCKNBOAI_02272","LDKIDLOJ_01448","HHCDGDKF_01531","GIPNDHBP_01550"
"malR","","HTH-type transcriptional regulator MalR","5","5","1","1","1965","","","","1019","1019","1019","BPOBBBHG_01384","PCKNBOAI_02265","LDKIDLOJ_01455","HHCDGDKF_01538","GIPNDHBP_01557"
"group_403","","Glyoxalase-like domain protein","5","5","1","1","1964","","","","371","371","371","BPOBBBHG_01385","PCKNBOAI_02264","LDKIDLOJ_01456","HHCDGDKF_01539","GIPNDHBP_01558"
"trmK","","tRNA (adenine(22)-N(1))-methyltransferase","5","5","1","1","1916","","","","677","677","677","BPOBBBHG_01434","PCKNBOAI_02213","LDKIDLOJ_01505","HHCDGDKF_01588","GIPNDHBP_01608"
"yhbY","","RNA-binding protein","5","5","1","1","1882","","","","290","290","290","BPOBBBHG_01468","PCKNBOAI_02179","LDKIDLOJ_01539","HHCDGDKF_01624","GIPNDHBP_01642"
"kipA_2","","KipI antagonist","5","5","1","1","1869","","","","1010","1010","1010","BPOBBBHG_01480","PCKNBOAI_02166","LDKIDLOJ_01551","HHCDGDKF_01638","GIPNDHBP_01654"
"group_407","","CsbD-like protein","5","5","1","1","1852","","","","182","182","182","BPOBBBHG_01497","PCKNBOAI_02149","LDKIDLOJ_01568","HHCDGDKF_01655","GIPNDHBP_01671"
"dtd","","D-aminoacyl-tRNA deacylase","5","5","1","1","1845","","","","305","452","422","BPOBBBHG_01504","PCKNBOAI_02142","LDKIDLOJ_01575","HHCDGDKF_01662","GIPNDHBP_01678"
"group_409","","rod shape-determining protein MreD","5","5","1","1","1830","","","","503","530","524","BPOBBBHG_01519","PCKNBOAI_02127","LDKIDLOJ_01590","HHCDGDKF_01677","GIPNDHBP_01693"
"mggB_1","","Mannosylglucosyl-3-phosphoglycerate phosphatase","5","5","1","1","2732","","","","2318","2318","2318","BPOBBBHG_00025","PCKNBOAI_01033","LDKIDLOJ_00025","HHCDGDKF_00025","GIPNDHBP_00025"
"group_410","","OsmC-like protein","5","5","1","1","1376","","","","446","446","446","BPOBBBHG_01582","PCKNBOAI_02065","LDKIDLOJ_01653","HHCDGDKF_01749","GIPNDHBP_01758"
"acuA","","Acetoin utilization protein AcuA","5","5","1","1","1389","","","","632","632","632","BPOBBBHG_01595","PCKNBOAI_02053","LDKIDLOJ_01665","HHCDGDKF_01761","GIPNDHBP_01770"
"ytnP","","putative quorum-quenching lactonase YtnP","5","5","1","1","1402","","","","842","884","850","BPOBBBHG_01608","PCKNBOAI_02040","LDKIDLOJ_01678","HHCDGDKF_01774","GIPNDHBP_01783"
"rsuA","","Ribosomal small subunit pseudouridine synthase A","5","5","1","1","1408","","","","695","695","695","BPOBBBHG_01614","PCKNBOAI_02034","LDKIDLOJ_01684","HHCDGDKF_01780","GIPNDHBP_01789"
"yvgN","","Glyoxal reductase","5","5","1","1","1445","","","","833","851","836","BPOBBBHG_01643","PCKNBOAI_02002","LDKIDLOJ_01722","HHCDGDKF_01814","GIPNDHBP_01823"
"group_417","","Prolyl oligopeptidase family protein","5","5","1","1","1564","","","","770","770","770","BPOBBBHG_01647","PCKNBOAI_01998","LDKIDLOJ_01726","HHCDGDKF_01819","GIPNDHBP_01828"
"menC","","o-succinylbenzoate synthase","5","5","1","1","1561","","","","1001","1001","1001","BPOBBBHG_01650","PCKNBOAI_01995","LDKIDLOJ_01729","HHCDGDKF_01822","GIPNDHBP_01831"
"menE","","2-succinylbenzoate--CoA ligase","5","5","1","1","1560","","","","1478","1478","1478","BPOBBBHG_01651","PCKNBOAI_01994","LDKIDLOJ_01730","HHCDGDKF_01823","GIPNDHBP_01832"
"sdrC","","Serine-aspartate repeat-containing protein C","5","5","1","1","2949","","","","2771","2915","2864","BPOBBBHG_00531","PCKNBOAI_00569","LDKIDLOJ_00509","HHCDGDKF_00655","GIPNDHBP_00526"
"group_420","","hypothetical protein","5","5","1","1","1559","","","","482","482","482","BPOBBBHG_01652","PCKNBOAI_01993","LDKIDLOJ_01731","HHCDGDKF_01824","GIPNDHBP_01833"
"yokF","","SPBc2 prophage-derived endonuclease YokF","5","5","1","1","1558","","","","221","614","535","BPOBBBHG_01653","PCKNBOAI_01992","LDKIDLOJ_01732","HHCDGDKF_01825","GIPNDHBP_01834"
"ghrB_2","","Glyoxylate/hydroxypyruvate reductase B","5","5","1","1","1481","","","","959","959","959","BPOBBBHG_01757","PCKNBOAI_01888","LDKIDLOJ_01830","HHCDGDKF_01933","GIPNDHBP_01938"
"group_427","","hypothetical protein","5","5","1","1","148","","","","413","413","413","BPOBBBHG_01785","PCKNBOAI_01860","LDKIDLOJ_01858","HHCDGDKF_01961","GIPNDHBP_01966"
"group_428","","hypothetical protein","5","5","1","1","154","","","","434","530","510","BPOBBBHG_01791","PCKNBOAI_01854","LDKIDLOJ_01864","HHCDGDKF_01967","GIPNDHBP_01972"
"gatB_2","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","5","5","1","1","157","","","","1085","1427","1358","BPOBBBHG_01794","PCKNBOAI_01851","LDKIDLOJ_01867","HHCDGDKF_01970","GIPNDHBP_01976"
"sspP","","Staphopain A","5","5","1","1","167","","","","1166","1166","1166","BPOBBBHG_01804","PCKNBOAI_01841","LDKIDLOJ_01877","HHCDGDKF_01980","GIPNDHBP_01986"
"natA_1","","ABC transporter ATP-binding protein NatA","5","5","1","1","2351","","","","896","896","896","BPOBBBHG_01828","PCKNBOAI_01817","LDKIDLOJ_01909","HHCDGDKF_02004","GIPNDHBP_02010"
"group_432","","hypothetical protein","5","5","1","1","2349","","","","158","176","172","BPOBBBHG_01830","PCKNBOAI_01815","LDKIDLOJ_01911","HHCDGDKF_02006","GIPNDHBP_02012"
"aspC","","Aspartate aminotransferase","5","5","1","1","2348","","","","1286","1286","1286","BPOBBBHG_01831","PCKNBOAI_01814","LDKIDLOJ_01912","HHCDGDKF_02007","GIPNDHBP_02013"
"group_435","","putative leukocidin-like protein 1","5","5","1","1","2322","","","","1016","1016","1016","BPOBBBHG_01835","PCKNBOAI_01748","LDKIDLOJ_01981","HHCDGDKF_02076","GIPNDHBP_02080"
"dapE","","putative succinyl-diaminopimelate desuccinylase","5","5","1","1","2320","","","","1223","1223","1223","BPOBBBHG_01837","PCKNBOAI_01746","LDKIDLOJ_01983","HHCDGDKF_02078","GIPNDHBP_02082"
"fhuD_1","","Iron(3+)-hydroxamate-binding protein FhuD","5","5","1","1","2318","","","","911","914","911","BPOBBBHG_01839","PCKNBOAI_00329","LDKIDLOJ_01985","HHCDGDKF_02081","GIPNDHBP_02084"
"hld","","Delta-hemolysin","5","5","1","1","545","","","","134","134","134","BPOBBBHG_01850","PCKNBOAI_01738","LDKIDLOJ_01998","HHCDGDKF_02092","GIPNDHBP_02095"
"leuD","","3-isopropylmalate dehydratase small subunit","5","5","1","1","470","","","","572","572","572","BPOBBBHG_01875","PCKNBOAI_01713","LDKIDLOJ_02024","HHCDGDKF_02269","GIPNDHBP_02121"
"group_441","","hypothetical protein","5","5","1","1","468","","","","455","455","455","BPOBBBHG_01882","PCKNBOAI_01706","LDKIDLOJ_02033","HHCDGDKF_02276","GIPNDHBP_02128"
"kdpC","","Potassium-transporting ATPase KdpC subunit","5","5","1","1","453","","","","560","560","560","BPOBBBHG_01895","PCKNBOAI_01693","LDKIDLOJ_02046","HHCDGDKF_02289","GIPNDHBP_02141"
"ricR_2","","Copper-sensing transcriptional repressor RicR","5","5","1","1","441","","","","293","293","293","BPOBBBHG_01906","PCKNBOAI_01681","LDKIDLOJ_02057","HHCDGDKF_02300","GIPNDHBP_02152"
